1,-,AFGHANISTAN,34.52813,69.17233
2,TIRANA,ALBANIA,41.3275,19.81889
3,AIN SMARA,ALGERIA,36.2674,6.50135
4,CONSTANTINE,ALGERIA,36.365,6.61472
5,ANNABA,ALGERIA,36.9,7.76667
6,SIDI BEL ABBES,ALGERIA,35.18994,-0.63085
7,BLIDA,ALGERIA,36.47004,2.8277
8,BIRKHADEM,ALGERIA,36.71499,3.05002
9,ALGIERS,ALGERIA,36.7525,3.04197
10,BOUDJIMA,ALGERIA,36.80218,4.15187
11,BORDJ EL KIFFAN,ALGERIA,36.74871,3.19248
12,TIARET,ALGERIA,35.37103,1.31699
13,-,ALGERIA,36.7525,3.04197
14,ORAN,ALGERIA,35.69111,-0.64167
15,CHLEF,ALGERIA,36.16525,1.33452
16,CHELGHOUM EL AID,ALGERIA,36.16286,6.16651
17,SAIDA,ALGERIA,34.83034,0.15171
18,LUANDA,ANGOLA,-8.83682,13.23432
19,SAINT JOHN'S,ANTIGUA AND BARBUDA,17.11667,-61.85
20,BUENOS AIRES,ARGENTINA,-34.61315,-58.37723
21,AVELLANEDA,ARGENTINA,-34.66018,-58.36744
22,EL CALAFATE,ARGENTINA,-50.34075,-72.27682
23,ROSARIO,ARGENTINA,-32.94682,-60.63932
24,VERA,ARGENTINA,-29.4593,-60.21261
25,CORDOBA,ARGENTINA,-31.4135,-64.18105
26,SANTA FE DE LA VERA CRUZ,ARGENTINA,-31.63333,-60.7
27,FORMOSA,ARGENTINA,-26.17753,-58.17814
28,PUERTO TIROL,ARGENTINA,-27.37218,-59.08206
29,CAFAYATE,ARGENTINA,-26.07295,-65.97614
30,LUJAN,ARGENTINA,-32.3757,-65.9296
31,SALTA,ARGENTINA,-24.7859,-65.41166
32,SANTIAGO DEL ESTERO,ARGENTINA,-27.79511,-64.26149
33,SAN SALVADOR DE JUJUY,ARGENTINA,-24.19456,-65.29712
34,SAN MIGUEL DE TUCUMAN,ARGENTINA,-26.82414,-65.2226
35,BAHIA BLANCA,ARGENTINA,-38.7196,-62.27243
36,LA PLATA,ARGENTINA,-34.92145,-57.95453
37,VILLA SANTA RITA,ARGENTINA,-34.61082,-58.481
38,CHACABUCO,ARGENTINA,-34.64167,-60.47389
39,MAR DEL PLATA,ARGENTINA,-38.00228,-57.55754
40,SAN MARTIN,ARGENTINA,-31.51599,-68.35273
41,LA RIOJA,ARGENTINA,-29.41105,-66.85067
42,ITUZAINGO,ARGENTINA,-34.65582,-58.65836
43,NEUQUEN,ARGENTINA,-38.95161,-68.0591
44,POSADAS,ARGENTINA,-27.36708,-55.89608
45,LIBERTADOR GENERAL SAN MARTIN,ARGENTINA,-23.80644,-64.78757
46,GUALEGUAYCHU,ARGENTINA,-33.00938,-58.51722
47,SAN CRISTOBAL,ARGENTINA,-30.31053,-61.23724
48,COMODORO RIVADAVIA,ARGENTINA,-45.86667,-67.5
49,HURLINGHAM,ARGENTINA,-34.58831,-58.63905
50,MENDOZA,ARGENTINA,-32.89084,-68.82717
51,BOVRIL,ARGENTINA,-31.34311,-59.44512
52,SAN LUIS,ARGENTINA,-33.29501,-66.33563
53,VILLA MARIA,ARGENTINA,-32.40751,-63.24016
54,CORRIENTES,ARGENTINA,-27.4806,-58.8341
55,RESISTENCIA,ARGENTINA,-27.46056,-58.98389
56,SAN VICENTE,ARGENTINA,-26.61667,-54.13333
57,AVELLANEDA,ARGENTINA,-29.11761,-59.65834
58,PARANA,ARGENTINA,-31.73197,-60.5238
59,PILAR,ARGENTINA,-31.6789,-63.87964
60,SAN JUSTO,ARGENTINA,-34.666667,-58.55
61,RIO GALLEGOS,ARGENTINA,-51.62261,-69.21813
62,PUNTA ALTA,ARGENTINA,-38.87588,-62.07359
63,MONTEROS,ARGENTINA,-27.16742,-65.49832
64,PUERTO MADRYN,ARGENTINA,-42.7692,-65.03851
65,MASIS,ARMENIA,40.06762,44.43591
66,YEREVAN,ARMENIA,40.18111,44.51361
67,TASHIR,ARMENIA,41.12072,44.28462
68,AKHURYAN,ARMENIA,40.78003,43.90027
69,ORANJESTAD,ARUBA,12.52398,-70.02703
70,MACQUARIE PARK,AUSTRALIA,-33.78105,151.12757
71,BRISBANE,AUSTRALIA,-27.46794,153.02809
72,MELBOURNE,AUSTRALIA,-37.814,144.96332
73,ELLEN GROVE,AUSTRALIA,-27.61529,152.94385
74,COMO,AUSTRALIA,-31.99119,115.86336
75,SYDNEY,AUSTRALIA,-33.86785,151.20732
76,WOOLLOONGABBA,AUSTRALIA,-27.48855,153.03655
77,-,AUSTRALIA,-33.86785,151.20732
78,MILLERS POINT,AUSTRALIA,-33.85957,151.20406
79,CAULFIELD NORTH,AUSTRALIA,-37.87255,145.02262
80,NEWCASTLE,AUSTRALIA,-32.92715,151.77647
